Origin,Target,Type,Number of Connections,Neurotransmitter
PLMR,PVCR,GapJunction,1,Generic_GJ
PLMR,PVR,GapJunction,2,Generic_GJ
PLNL,SAADL,Send,5,Acetylcholine
PLNL,SMBVL,Send,6,Acetylcholine
PLNR,SAADR,Send,4,Acetylcholine
PLNR,SMBVR,Send,6,Acetylcholine
PQR,AVAL,Send,8,Glutamate
PQR,AVAR,Send,11,Glutamate
PQR,AVDL,Send,7,Glutamate
PQR,AVDR,Send,6,Glutamate
PQR,AVG,Send,1,Glutamate
PQR,LUAR,Send,1,Glutamate
PQR,PVNL,Send,1,Glutamate
PQR,PVPL,GapJunction,4,Generic_GJ
PVCL,AS1,Send,1,Glutamate
PVCL,AVAL,Send,1,Glutamate
PVCL,AVAL,GapJunction,2,Generic_GJ
PVCL,AVAR,Send,4,Glutamate
PVCL,AVBL,Send,5,Glutamate
PVCL,AVBR,Send,12,Glutamate
PVCL,AVDL,Send,5,Glutamate
PVCL,AVDR,Send,2,Glutamate
PVCL,AVEL,Send,2,Glutamate
PVCL,AVER,Send,1,Glutamate
PVCL,AVJL,GapJunction,1,Generic_GJ
PVCL,AVJL,Send,3,Glutamate
PVCL,AVJR,GapJunction,1,Generic_GJ
PVCL,AVJR,Send,1,Glutamate
PVCL,DA2,Send,1,Glutamate
PVCL,DA5,Send,1,Glutamate
PVCL,DA6,Send,1,Glutamate
PVCL,DB2,Send,3,Glutamate
PVCL,DB3,Send,4,Glutamate
PVCL,DB4,Send,3,Glutamate
PVCL,DB5,Send,2,Glutamate
PVCL,DB6,Send,2,Glutamate
PVCL,DB7,Send,3,Glutamate
PVCL,DVA,GapJunction,1,Generic_GJ
PVCL,DVA,Send,4,Glutamate
PVCL,PLML,GapJunction,1,Generic_GJ
PVCL,PVCR,Send,2,Glutamate
PVCL,PVCR,GapJunction,5,Generic_GJ
PVCL,RID,Send,5,Glutamate
PVCL,RIS,Send,2,Glutamate
PVCL,SIBVL,Send,2,Glutamate
PVCL,VB10,GapJunction,1,Generic_GJ
PVCL,VB10,Send,2,Glutamate
PVCL,VB11,Send,1,Glutamate
PVCL,VB3,Send,1,Glutamate
PVCL,VB4,Send,1,Glutamate
PVCL,VB5,Send,1,Glutamate
PVCL,VB6,Send,2,Glutamate
PVCL,VB8,Send,1,Glutamate
PVCL,VB9,GapJunction,2,Generic_GJ
PVCR,AQR,Send,1,Glutamate
PVCR,AS2,Send,1,Glutamate
PVCR,AVAL,GapJunction,5,Generic_GJ
PVCR,AVAL,Send,7,Glutamate
PVCR,AVAR,GapJunction,3,Generic_GJ
PVCR,AVAR,Send,7,Glutamate
PVCR,AVBL,Send,8,Glutamate
PVCR,AVBR,Send,6,Glutamate
PVCR,AVDL,Send,5,Glutamate
PVCR,AVDR,Send,1,Glutamate
PVCR,AVEL,Send,1,Glutamate
PVCR,AVER,Send,1,Glutamate
PVCR,AVJL,GapJunction,3,Generic_GJ
PVCR,AVL,Send,1,Glutamate
PVCR,DA9,Send,1,Glutamate
PVCR,DB2,Send,1,Glutamate
PVCR,DB3,Send,3,Glutamate
PVCR,DB4,Send,4,Glutamate
PVCR,DB5,Send,1,Glutamate
PVCR,DB6,Send,2,Glutamate
PVCR,DB7,Send,1,Glutamate
PVCR,FLPL,Send,1,Glutamate
PVCR,LUAR,Send,1,Glutamate
PVCR,PDEL,GapJunction,1,Generic_GJ
PVCR,PDEL,Send,1,Glutamate
PVCR,PHCR,GapJunction,1,Generic_GJ
PVCR,PLMR,GapJunction,1,Generic_GJ
PVCR,PVCL,Send,3,Glutamate
PVCR,PVCL,GapJunction,5,Generic_GJ
PVCR,PVDL,Send,1,Glutamate
PVCR,PVR,Send,1,Glutamate
PVCR,PVWL,GapJunction,2,Generic_GJ
PVCR,PVWR,Send,1,Glutamate
PVCR,PVWR,GapJunction,1,Generic_GJ
PVCR,RID,Send,5,Glutamate
PVCR,SIBVR,Send,2,Glutamate
PVCR,VA8,GapJunction,2,Generic_GJ
PVCR,VA9,GapJunction,1,Generic_GJ
PVCR,VB10,Send,1,Glutamate
PVCR,VB4,Send,3,Glutamate
PVCR,VB6,Send,2,Glutamate
PVCR,VB7,Send,3,Glutamate
PVCR,VB8,Send,1,Glutamate
PVDL,AVAL,Send,6,Glutamate
PVDL,AVAR,Send,6,Glutamate
PVDL,DD5,Send,1,Glutamate
PVDL,PVCL,Send,1,Glutamate
PVDL,PVCR,Send,6,Glutamate
PVDL,VD10,Send,1,Glutamate
PVDR,AVAL,Send,6,Glutamate
PVDR,AVAR,Send,9,Glutamate
PVDR,DVA,Send,3,Glutamate
PVDR,PVCL,Send,13,Glutamate
PVDR,PVCR,Send,10,Glutamate
PVDR,PVDL,Send,1,Glutamate
PVDR,VA9,Send,1,Glutamate
PVM,AVKL,Send,11,Glutamate
PVM,AVL,GapJunction,1,Generic_GJ
PVM,AVM,Send,1,Glutamate
PVM,DVA,Send,3,Glutamate
PVM,PDEL,GapJunction,1,Generic_GJ
PVM,PDEL,Send,7,Glutamate
PVM,PDER,GapJunction,1,Generic_GJ
PVM,PDER,Send,8,Glutamate
PVM,PVCL,Send,2,Glutamate
PVM,PVR,Send,1,Glutamate
PVNL,AVAL,Send,2,Glutamate
PVNL,AVBR,Send,1,Glutamate
PVNL,AVBR,GapJunction,2,Generic_GJ
PVNL,AVDL,Send,3,Glutamate
PVNL,AVDR,Send,3,Glutamate
PVNL,AVEL,Send,1,Glutamate
PVNL,AVFR,Send,1,Glutamate
PVNL,AVG,Send,1,Glutamate
PVNL,AVJL,Send,5,Glutamate
PVNL,AVJR,Send,5,Glutamate
PVNL,AVL,Send,2,Glutamate
PVNL,BDUL,Send,1,Glutamate
PVNL,BDUR,Send,2,Glutamate
PVNL,DD1,Send,2,Glutamate
PVNL,PQR,Send,1,Glutamate
PVNL,PVCL,Send,1,Glutamate
PVNL,PVNR,Send,5,Glutamate
PVNL,PVQR,GapJunction,1,Generic_GJ
PVNL,PVT,Send,1,Glutamate
PVNL,PVWL,Send,1,Glutamate
PVNL,RIFL,Send,1,Glutamate
PVNR,AVAL,Send,2,Glutamate
PVNR,AVBL,Send,1,Glutamate
PVNR,AVBR,Send,2,Glutamate
PVNR,AVDR,Send,1,Glutamate
PVNR,AVEL,Send,3,Glutamate
PVNR,AVJL,Send,4,Glutamate
PVNR,AVJR,Send,1,Glutamate
PVNR,AVL,Send,2,Glutamate
PVNR,BDUL,Send,1,Glutamate
PVNR,BDUR,Send,2,Glutamate
PVNR,DD3,Send,1,Glutamate
PVNR,HSNR,GapJunction,1,Generic_GJ
PVNR,HSNR,Send,1,Glutamate
PVNR,PQR,Send,2,Glutamate
PVNR,PVCL,Send,1,Glutamate
PVNR,PVNL,Send,1,Glutamate
PVNR,PVT,Send,2,Glutamate
PVNR,PVWL,Send,2,Glutamate
PVNR,VC2,Send,1,Glutamate
PVNR,VC3,Send,1,Glutamate
PVNR,VD12,Send,1,Glutamate
PVNR,VD6,Send,1,Glutamate
PVNR,VD7,Send,1,Glutamate
PVPL,ADAL,Send,1,Glutamate
PVPL,AQR,Send,1,Glutamate
PVPL,AQR,GapJunction,7,Generic_GJ
PVPL,AVAL,GapJunction,1,Generic_GJ
PVPL,AVAL,Send,1,Glutamate
PVPL,AVAR,Send,1,Glutamate
PVPL,AVBL,Send,5,Glutamate
PVPL,AVBR,Send,6,Glutamate
PVPL,AVDR,Send,2,Glutamate
PVPL,AVER,Send,1,Glutamate
PVPL,AVHR,Send,1,Glutamate
PVPL,AVKL,GapJunction,1,Generic_GJ
PVPL,AVKR,GapJunction,6,Generic_GJ
PVPL,DVC,GapJunction,2,Generic_GJ
PVPL,PHAR,GapJunction,3,Generic_GJ
PVPL,PQR,GapJunction,4,Generic_GJ
PVPL,PVCR,Send,3,Glutamate
PVPL,PVPR,GapJunction,1,Generic_GJ
PVPL,PVT,GapJunction,1,Generic_GJ
PVPL,RIGL,Send,2,Glutamate
PVPL,VD13,GapJunction,2,Generic_GJ
PVPL,VD3,GapJunction,1,Generic_GJ
PVPR,ADFR,Send,1,Glutamate
PVPR,AQR,Send,2,Glutamate
PVPR,AQR,GapJunction,9,Generic_GJ
PVPR,ASHR,Send,1,Glutamate
PVPR,AVAL,Send,1,Glutamate
PVPR,AVAR,Send,2,Glutamate
PVPR,AVBL,Send,4,Glutamate
PVPR,AVBR,Send,5,Glutamate
PVPR,AVHL,Send,3,Glutamate
PVPR,AVKL,GapJunction,1,Generic_GJ
PVPR,AVL,Send,4,Glutamate
PVPR,DD2,Send,1,Glutamate
PVPR,DVC,Send,1,Glutamate
PVPR,DVC,GapJunction,13,Generic_GJ
PVPR,PVCL,Send,4,Glutamate
PVPR,PVCR,Send,7,Glutamate
PVPR,PVPL,GapJunction,1,Generic_GJ
PVPR,PVQR,Send,1,Glutamate
PVPR,RIAR,Send,2,Glutamate
PVPR,RIGR,Send,1,Glutamate
PVPR,RIMR,Send,1,Glutamate
PVPR,RMGR,Send,1,Glutamate
PVPR,VD4,GapJunction,1,Generic_GJ
PVPR,VD5,GapJunction,1,Generic_GJ
PVQL,ADAL,GapJunction,1,Generic_GJ
PVQL,AIAL,Send,3,Glutamate
PVQL,ASJL,Send,1,Glutamate
PVQL,ASKL,Send,4,Glutamate
PVQL,ASKL,GapJunction,5,Generic_GJ
PVQL,HSNL,Send,2,Glutamate
PVQL,PVQR,GapJunction,2,Generic_GJ
PVQL,RMGL,Send,1,Glutamate
PVQR,ADAR,GapJunction,1,Generic_GJ
PVQR,AIAR,Send,7,Glutamate
PVQR,ASER,Send,1,Glutamate
PVQR,ASKR,GapJunction,4,Generic_GJ
PVQR,ASKR,Send,4,Glutamate
PVQR,AVBL,Send,1,Glutamate
PVQR,AVFL,GapJunction,1,Generic_GJ
PVQR,AVFR,Send,1,Glutamate
PVQR,AVL,Send,1,Glutamate
PVQR,AWAR,Send,2,Glutamate
PVQR,DD1,Send,1,Glutamate
PVQR,DVC,Send,1,Glutamate
PVQR,HSNR,Send,1,Glutamate
PVQR,PVNL,GapJunction,1,Generic_GJ
PVQR,PVQL,GapJunction,2,Generic_GJ
PVQR,PVT,Send,1,Glutamate
PVQR,RIFR,Send,1,Glutamate
PVQR,VD1,Send,1,Glutamate
PVR,ADAL,Send,1,Glutamate
PVR,ALML,GapJunction,1,Generic_GJ
PVR,AS6,Send,1,Glutamate
PVR,AVBL,Send,4,Glutamate
PVR,AVBR,Send,4,Glutamate
PVR,AVJL,Send,3,Glutamate
PVR,AVJR,Send,2,Glutamate
PVR,AVKL,Send,1,Glutamate
PVR,DA9,Send,1,Glutamate
PVR,DB2,Send,1,Glutamate
PVR,DB3,Send,1,Glutamate
PVR,DVA,Send,1,Glutamate
PVR,DVA,GapJunction,2,Generic_GJ
PVR,IL1DL,Send,1,Glutamate
PVR,IL1DR,Send,1,Glutamate
PVR,IL1VL,Send,1,Glutamate
PVR,IL1VR,Send,1,Glutamate
PVR,LUAL,GapJunction,1,Generic_GJ
PVR,LUAR,GapJunction,1,Generic_GJ
PVR,PDEL,Send,1,Glutamate
PVR,PDER,Send,1,Glutamate
PVR,PLMR,GapJunction,2,Generic_GJ
PVR,PVCR,Send,1,Glutamate
PVR,RIPL,Send,3,Glutamate
PVR,RIPR,Send,3,Glutamate
PVR,SABD,Send,1,Glutamate
PVR,URADL,Send,1,Glutamate
PVT,AIBL,GapJunction,1,Generic_GJ
PVT,AIBL,Send,2,Glutamate
PVT,AIBR,GapJunction,1,Generic_GJ
PVT,AIBR,Send,4,Glutamate
PVT,AVKL,GapJunction,2,Generic_GJ
PVT,AVKL,Send,7,Glutamate
PVT,AVKR,Send,7,Glutamate
PVT,AVL,Send,2,Glutamate
PVT,DVC,Send,2,Glutamate
PVT,PVPL,GapJunction,1,Generic_GJ
PVT,RIBL,GapJunction,1,Generic_GJ
PVT,RIBR,GapJunction,1,Generic_GJ
PVT,RIGL,Send,2,Glutamate
PVT,RIGR,Send,3,Glutamate
PVT,RIH,Send,1,Glutamate
PVT,RMEV,Send,1,Glutamate
PVT,RMFL,Send,2,Glutamate
PVT,RMFR,Send,3,Glutamate
PVT,SMBDR,Send,1,Glutamate
PVWL,AVJL,Send,1,Serotonin
PVWL,PVCR,GapJunction,2,Generic_GJ
PVWL,PVT,Send,2,Serotonin
PVWL,PVWR,Send,1,Serotonin
PVWL,VA12,Send,1,Serotonin
PVWR,AVAR,Send,1,Serotonin
PVWR,AVDR,Send,1,Serotonin
PVWR,PVCR,GapJunction,1,Generic_GJ
PVWR,PVCR,Send,1,Serotonin
PVWR,PVT,Send,1,Serotonin
PVWR,VA12,Send,1,Serotonin
RIAL,CEPVL,Send,1,GABA
RIAL,RIAR,Send,1,GABA
RIAL,RIVL,Send,2,GABA
RIAL,RIVR,Send,4,GABA
RIAL,RMDDL,Send,12,GABA
RIAL,RMDDR,Send,7,GABA
RIAL,RMDL,Send,6,GABA
RIAL,RMDR,Send,6,GABA
RIAL,RMDVL,Send,9,GABA
RIAL,RMDVR,Send,11,GABA
RIAL,SIADL,Send,2,GABA
RIAL,SMDDL,Send,8,GABA
RIAL,SMDDR,Send,10,GABA
RIAL,SMDVL,Send,6,GABA
RIAL,SMDVR,Send,11,GABA
RIAR,CEPVR,Send,1,GABA
RIAR,IL1R,Send,1,GABA
RIAR,RIAL,Send,4,GABA
RIAR,RIVL,Send,1,GABA
RIAR,RMDDL,Send,10,GABA
RIAR,RMDDR,Send,11,GABA
RIAR,RMDL,Send,3,GABA
RIAR,RMDR,Send,8,GABA
RIAR,RMDVL,Send,12,GABA
RIAR,RMDVR,Send,10,GABA
RIAR,SAADR,Send,1,GABA
RIAR,SIADL,Send,1,GABA
RIAR,SIADR,Send,1,GABA
RIAR,SIAVL,Send,1,GABA
RIAR,SMDDL,Send,7,GABA
RIAR,SMDDR,Send,7,GABA
RIAR,SMDVL,Send,13,GABA
RIAR,SMDVR,Send,7,GABA
RIBL,AIBR,Send,2,Glutamate
RIBL,AUAL,Send,1,Glutamate
RIBL,AVAL,Send,1,Glutamate
RIBL,AVBL,GapJunction,1,Generic_GJ
RIBL,AVBR,GapJunction,1,Generic_GJ
RIBL,AVBR,Send,1,Glutamate
RIBL,AVDR,Send,1,Glutamate
RIBL,AVEL,Send,1,Glutamate
RIBL,AVER,Send,5,Glutamate
RIBL,BAGR,Send,1,Glutamate
RIBL,OLQDL,GapJunction,2,Generic_GJ
RIBL,OLQVL,GapJunction,1,Generic_GJ
RIBL,PVT,GapJunction,1,Generic_GJ
RIBL,RIAL,Send,3,Glutamate
RIBL,RIBL,GapJunction,1,Generic_GJ
RIBL,RIBR,GapJunction,3,Generic_GJ
RIBL,RIGL,GapJunction,1,Generic_GJ
RIBL,SIADL,GapJunction,1,Generic_GJ
RIBL,SIAVL,GapJunction,1,Generic_GJ
RIBL,SIBDL,GapJunction,1,Generic_GJ
RIBL,SIBVL,GapJunction,1,Generic_GJ
RIBL,SIBVR,GapJunction,1,Generic_GJ
RIBL,SMBDL,GapJunction,1,Generic_GJ
RIBL,SMDDL,GapJunction,1,Generic_GJ
RIBL,SMDVR,Send,2,Glutamate
RIBL,SMDVR,GapJunction,2,Generic_GJ
RIBR,AIBL,Send,1,Glutamate
RIBR,AIZR,Send,1,Glutamate
RIBR,AVAR,Send,2,Glutamate
RIBR,AVBL,GapJunction,1,Generic_GJ
RIBR,AVBR,GapJunction,1,Generic_GJ
RIBR,AVEL,Send,3,Glutamate
RIBR,AVER,Send,1,Glutamate
RIBR,BAGL,Send,1,Glutamate
RIBR,OLQDR,GapJunction,2,Generic_GJ
RIBR,OLQVR,GapJunction,1,Generic_GJ
RIBR,PVT,GapJunction,1,Generic_GJ
RIBR,RIAR,Send,2,Glutamate
RIBR,RIBL,GapJunction,3,Generic_GJ
RIBR,RIBR,GapJunction,1,Generic_GJ
RIBR,RIGR,Send,1,Glutamate
RIBR,RIGR,GapJunction,1,Generic_GJ
RIBR,RIH,Send,1,Glutamate
RIBR,SIADR,GapJunction,1,Generic_GJ
RIBR,SIAVR,GapJunction,1,Generic_GJ
RIBR,SIBDR,GapJunction,1,Generic_GJ
RIBR,SIBVR,GapJunction,1,Generic_GJ
RIBR,SMBDR,GapJunction,1,Generic_GJ
RIBR,SMDDL,Send,1,Glutamate
RIBR,SMDDL,GapJunction,1,Generic_GJ
RIBR,SMDDR,GapJunction,1,Generic_GJ
RIBR,SMDVL,GapJunction,2,Generic_GJ
RICL,ADAR,Send,1,Octapamine
RICL,ASHL,GapJunction,2,Generic_GJ
RICL,AVAL,Send,5,Octapamine
RICL,AVAR,Send,6,Octapamine
RICL,AVKL,GapJunction,1,Generic_GJ
RICL,AVKR,GapJunction,1,Generic_GJ
RICL,AVKR,Send,1,Octapamine
RICL,AWBR,GapJunction,1,Generic_GJ
RICL,RIML,Send,1,Octapamine
RICL,RIMR,Send,3,Octapamine
RICL,RIVR,Send,1,Octapamine
RICL,RMFR,Send,1,Octapamine
RICL,SMBDL,Send,2,Octapamine
RICL,SMDDL,Send,3,Octapamine
RICL,SMDDR,Send,3,Octapamine
RICL,SMDVR,Send,1,Octapamine
RICR,ADAR,Send,1,Octapamine
RICR,ASHR,GapJunction,2,Generic_GJ
RICR,AVAL,Send,5,Octapamine
RICR,AVAR,Send,5,Octapamine
RICR,AVKL,GapJunction,1,Generic_GJ
RICR,SMBDR,Send,1,Octapamine
RICR,SMDDL,Send,4,Octapamine
RICR,SMDDR,Send,3,Octapamine
RICR,SMDVL,Send,2,Octapamine
RICR,SMDVR,Send,1,Octapamine
RID,ALA,GapJunction,1,Generic_GJ
RID,AS2,Send,1,GABA
RID,AVBL,GapJunction,1,Generic_GJ
RID,AVBR,GapJunction,2,Generic_GJ
RID,DA6,Send,3,GABA
RID,DA9,GapJunction,1,Generic_GJ
RID,DB1,GapJunction,1,Generic_GJ
RID,DD1,Send,4,GABA
RID,DD2,Send,4,GABA
RID,DD3,Send,3,GABA
RID,PDB,GapJunction,2,Generic_GJ
RID,VD13,Send,1,GABA
RID,VD5,Send,1,GABA
RIFL,ALML,Send,2,Glutamate
RIFL,AVBL,Send,10,Glutamate
RIFL,AVBR,Send,1,Glutamate
RIFL,AVG,GapJunction,1,Generic_GJ
RIFL,AVHR,Send,1,Glutamate
RIFL,AVJR,Send,2,Glutamate
RIFL,PVPL,Send,3,Glutamate
RIFL,RIML,Send,4,Glutamate
RIFL,VD1,GapJunction,1,Generic_GJ
RIFR,ASHR,Send,2,Glutamate
RIFR,AVBL,Send,1,Glutamate
RIFR,AVBR,Send,17,Glutamate
RIFR,AVFL,Send,1,Glutamate
RIFR,AVG,GapJunction,1,Generic_GJ
RIFR,AVHL,Send,1,Glutamate
RIFR,AVJL,Send,1,Glutamate
RIFR,AVJR,Send,2,Glutamate
RIFR,HSNR,Send,1,Glutamate
RIFR,PVCL,Send,1,Glutamate
RIFR,PVCR,Send,1,Glutamate
RIFR,PVPR,Send,4,Glutamate
RIFR,RIMR,Send,4,Glutamate
RIFR,RIPR,Send,1,Glutamate
RIGL,AIBR,GapJunction,3,Generic_GJ
RIGL,AIZR,Send,1,FMRFamide
RIGL,ALNL,Send,1,FMRFamide
RIGL,AQR,GapJunction,2,Generic_GJ
RIGL,AVEL,Send,1,FMRFamide
RIGL,AVER,Send,1,FMRFamide
RIGL,AVKL,GapJunction,1,Generic_GJ
RIGL,AVKR,Send,2,FMRFamide
RIGL,BAGR,GapJunction,1,Generic_GJ
RIGL,BAGR,Send,1,FMRFamide
RIGL,DVC,Send,1,FMRFamide
RIGL,OLLL,GapJunction,1,Generic_GJ
RIGL,OLQDL,GapJunction,1,Generic_GJ
RIGL,OLQVL,GapJunction,1,Generic_GJ
RIGL,RIBL,GapJunction,1,Generic_GJ
RIGL,RIBL,Send,1,FMRFamide
RIGL,RIGR,GapJunction,3,Generic_GJ
RIGL,RIR,Send,2,FMRFamide
RIGL,RMEL,GapJunction,1,Generic_GJ
RIGL,RMFL,Send,1,FMRFamide
RIGL,RMHR,Send,3,FMRFamide
RIGL,URYDL,GapJunction,1,Generic_GJ
RIGL,URYVL,GapJunction,1,Generic_GJ
RIGL,VB2,GapJunction,1,Generic_GJ
RIGL,VD1,GapJunction,2,Generic_GJ
RIGR,AIBL,GapJunction,3,Generic_GJ
RIGR,ALNR,Send,1,FMRFamide
RIGR,AQR,GapJunction,1,Generic_GJ
RIGR,AVER,Send,2,FMRFamide
RIGR,AVKL,Send,4,FMRFamide
RIGR,AVKR,GapJunction,1,Generic_GJ
RIGR,AVKR,Send,1,FMRFamide
RIGR,BAGL,GapJunction,1,Generic_GJ
RIGR,OLLR,GapJunction,1,Generic_GJ
RIGR,OLQDR,GapJunction,1,Generic_GJ
RIGR,OLQVR,GapJunction,1,Generic_GJ
RIGR,RIBR,GapJunction,1,Generic_GJ
RIGR,RIBR,Send,1,FMRFamide
RIGR,RIGL,GapJunction,3,Generic_GJ
RIGR,RIR,Send,1,FMRFamide
RIGR,RMHL,Send,4,FMRFamide
RIGR,URYDR,GapJunction,1,Generic_GJ
RIGR,URYVR,GapJunction,1,Generic_GJ
RIH,ADFR,Send,1,Serotonin
RIH,AIZL,Send,4,Serotonin
RIH,AIZR,Send,4,Serotonin
RIH,AUAR,Send,1,Serotonin
RIH,BAGR,Send,1,Serotonin
RIH,CEPDL,GapJunction,1,Generic_GJ
RIH,CEPDL,Send,1,Serotonin
RIH,CEPDR,GapJunction,1,Generic_GJ
RIH,CEPDR,Send,1,Serotonin
RIH,CEPVL,GapJunction,1,Generic_GJ
RIH,CEPVL,Send,1,Serotonin
RIH,CEPVR,GapJunction,1,Generic_GJ
RIH,CEPVR,Send,1,Serotonin
RIH,FLPL,GapJunction,1,Generic_GJ
RIH,IL2L,Send,2,Serotonin
RIH,IL2R,Send,1,Serotonin
RIH,OLQDL,Send,2,Serotonin
RIH,OLQDR,GapJunction,1,Generic_GJ
RIH,OLQDR,Send,2,Serotonin
RIH,OLQVL,Send,1,Serotonin
RIH,OLQVR,Send,6,Serotonin
RIH,RIAL,Send,11,Serotonin
RIH,RIAR,Send,8,Serotonin
RIH,RIBL,Send,5,Serotonin
RIH,RIBR,Send,4,Serotonin
RIH,RIPL,Send,5,Serotonin
RIH,RIPR,Send,3,Serotonin
RIH,RMER,Send,2,Serotonin
RIH,RMEV,Send,1,Serotonin
RIH,URYVR,Send,1,Serotonin
RIML,AIBR,GapJunction,1,Generic_GJ
RIML,AIYL,GapJunction,1,Generic_GJ
RIML,AVAL,Send,1,Acetylcholine_Tyramine
RIML,AVAR,GapJunction,2,Generic_GJ
RIML,AVBL,Send,2,Acetylcholine_Tyramine
RIML,AVBR,Send,3,Acetylcholine_Tyramine
RIML,AVEL,GapJunction,2,Generic_GJ
RIML,AVER,GapJunction,3,Generic_GJ
RIML,RIBL,Send,1,Acetylcholine_Tyramine
RIML,RIS,GapJunction,1,Generic_GJ
RIML,RMDL,Send,1,Acetylcholine_Tyramine
RIML,RMDR,Send,1,Acetylcholine_Tyramine
RIML,RMFR,Send,1,Acetylcholine_Tyramine
RIML,SAADR,Send,1,Acetylcholine_Tyramine
RIML,SAAVL,Send,3,Acetylcholine_Tyramine
RIML,SAAVR,Send,2,Acetylcholine_Tyramine
RIML,SMDDR,Send,5,Acetylcholine_Tyramine
RIML,SMDVL,Send,1,Acetylcholine_Tyramine
RIMR,ADAR,Send,1,Acetylcholine_Tyramine
RIMR,AIBL,GapJunction,1,Generic_GJ
RIMR,AIBL,Send,4,Acetylcholine_Tyramine
RIMR,AIYR,GapJunction,1,Generic_GJ
RIMR,AVAL,Send,2,Acetylcholine_Tyramine
RIMR,AVAL,GapJunction,3,Generic_GJ
RIMR,AVAR,GapJunction,1,Generic_GJ
RIMR,AVBL,Send,2,Acetylcholine_Tyramine
RIMR,AVBR,Send,5,Acetylcholine_Tyramine
RIMR,AVEL,GapJunction,3,Generic_GJ
RIMR,AVER,GapJunction,2,Generic_GJ
RIMR,AVJL,Send,1,Acetylcholine_Tyramine
RIMR,AVKL,Send,1,Acetylcholine_Tyramine
RIMR,RIBR,Send,1,Acetylcholine_Tyramine
RIMR,RIS,Send,1,Acetylcholine_Tyramine
RIMR,RIS,GapJunction,1,Generic_GJ
RIMR,RMDL,Send,3,Acetylcholine_Tyramine
RIMR,RMDR,Send,1,Acetylcholine_Tyramine
RIMR,RMFL,Send,1,Acetylcholine_Tyramine
RIMR,RMFR,Send,1,Acetylcholine_Tyramine
RIMR,SAAVL,Send,3,Acetylcholine_Tyramine
RIMR,SAAVR,Send,3,Acetylcholine_Tyramine
RIMR,SMDDL,Send,2,Acetylcholine_Tyramine
RIMR,SMDDR,Send,4,Acetylcholine_Tyramine
RIPL,OLQDL,Send,1,Serotonin
RIPL,OLQDR,Send,1,Serotonin
RIPL,RMED,GapJunction,1,Generic_GJ
RIPR,OLQDL,Send,1,Serotonin
RIPR,OLQDR,Send,1,Serotonin
RIPR,RMED,GapJunction,1,Generic_GJ
RIR,AFDR,Send,1,Serotonin
RIR,AIZL,Send,3,Serotonin
RIR,AIZR,Send,5,Serotonin
RIR,AUAL,Send,1,Serotonin
RIR,AWBR,Send,1,Serotonin
RIR,BAGL,GapJunction,1,Generic_GJ
RIR,BAGR,GapJunction,1,Generic_GJ
RIR,BAGR,Send,1,Serotonin
RIR,DVA,Send,2,Serotonin
RIR,HSNL,Send,1,Serotonin
RIR,PVPL,Send,1,Serotonin
RIR,RIAL,Send,5,Serotonin
RIR,RIAR,Send,1,Serotonin
RIR,RIGL,Send,1,Serotonin
RIR,URXL,Send,5,Serotonin
RIR,URXR,Send,1,Serotonin
RIS,AIBR,GapJunction,1,Generic_GJ
RIS,AVEL,Send,7,GABA
RIS,AVER,Send,7,GABA
RIS,AVJL,GapJunction,1,Generic_GJ
RIS,AVKL,Send,1,GABA
RIS,AVKR,Send,4,GABA
RIS,AVL,Send,2,GABA
RIS,CEPDR,Send,1,GABA
RIS,CEPVL,Send,2,GABA
RIS,CEPVR,Send,1,GABA
RIS,DB1,GapJunction,1,Generic_GJ
RIS,OLLR,Send,1,GABA
RIS,RIBL,Send,3,GABA
RIS,RIBR,Send,5,GABA
RIS,RIML,GapJunction,1,Generic_GJ
RIS,RIML,Send,1,GABA
RIS,RIMR,GapJunction,1,Generic_GJ
RIS,RIMR,Send,4,GABA
RIS,RMDDL,Send,1,GABA
RIS,RMDL,Send,2,GABA
RIS,RMDR,Send,4,GABA
RIS,SMDDL,GapJunction,1,Generic_GJ
RIS,SMDDR,GapJunction,1,Generic_GJ
RIS,SMDDR,Send,2,GABA
RIS,SMDVL,GapJunction,1,Generic_GJ
RIS,SMDVR,Send,1,GABA
RIS,URYVR,Send,1,GABA
RIVL,AIBL,GapJunction,1,Generic_GJ
RIVL,RIAL,Send,1,GABA
RIVL,RIAR,Send,1,GABA
RIVL,RIVR,GapJunction,2,Generic_GJ
RIVL,RMDL,Send,2,GABA
RIVL,SAADR,Send,3,GABA
RIVL,SDQR,GapJunction,2,Generic_GJ
RIVL,SIAVR,Send,2,GABA
RIVL,SMDDR,Send,1,GABA
RIVL,SMDVL,GapJunction,1,Generic_GJ
RIVR,AIBR,GapJunction,1,Generic_GJ
RIVR,RIAL,Send,2,GABA
RIVR,RIAR,Send,1,GABA
RIVR,RIVL,GapJunction,2,Generic_GJ
RIVR,RMDDL,Send,1,GABA
RIVR,RMDR,Send,1,GABA
RIVR,RMDVR,Send,1,GABA
RIVR,RMEV,Send,1,GABA
RIVR,SAADL,Send,2,GABA
RIVR,SDQR,GapJunction,2,Generic_GJ
RIVR,SIAVL,Send,2,GABA
RIVR,SMDDL,Send,2,GABA
RIVR,SMDVR,Send,2,GABA
RIVR,SMDVR,GapJunction,2,Generic_GJ
RMDDL,OLQVL,GapJunction,1,Generic_GJ
RMDDL,RMDL,GapJunction,1,Generic_GJ
